name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"Venom","Horrors","Columbia Pictures","USA",112,16,2018,55,6.7
"Fantastic Beasts The Crimes of Grindelwald","Adventure","Warner Brothers Pictures","USA",135,12,2018,41,6.5
"The Nutcracker and the Four Realms","Fantasy","Walt Disney Pictures","USA",99,0,2018,44,5.6
"Mission Impossible – Fallout","Action","Sky Cinema","USA",147,12,2018,13,7.7
"Incredibles 2","Cartoon","Walt Disney Pictures","USA",125,0,2018,55,7.6
"La ragazza nella nebbia","Thriller","Lion's Gate Films","Italy",128,16,2018,6,6.8
"The Place","Comedy","Lion's Gate Films","Italy",105,16,2018,20,7.0
"Submergence","Drama","Warner Brothers Pictures","Germany",112,16,2018,1,5.4
"Condorito La Película","Animation","Cinema Management Group","Peru",88,0,2018,13,5.3
"Elias og Storegaps Hemmelighet","Cartoon","Anima Estudios","Norway",75,0,2018,6,5.1
"The Cured","Horrors","Mirror Productions","Ireland",95,16,2018,27,5.6
"The Dinner","Thriller","Vertigo Releasing","USA",120,16,2018,27,4.5
"Dear Dictator","Comedy","Universal Pictures","USA",90,16,2018,13,5.0
"Thelma","Thriller","Maipo Film","Norway",116,16,2018,27,7.0
"I Kill Giants","Fantasy","Les Films Pelléas","Belgium",104,12,2018,13,6.2
"Gringo","Drama","Paramount Pictures","Australia",110,16,2018,20,6.1
"Kickboxer Retaliation","Action","Our House Films","USA",110,16,2018,20,5.0
"Mortal Engines","Fantasy","Huhu Studios","New Zealand",129,12,2018,27,6.1
"Aquaman","Fantasy","Warner Brothers Pictures","USA",144,12,2018,13,6.9
"How to Train Your Dragon The Hidden World","Animation","DreamWorks Animation","USA",104,0,2019,34,7.5
"Spider-Man Into the Spider-Verse","Fantasy","Columbia Pictures","USA",117,0,2018,85,8.4
"Godzilla King of the Monsters","Fantasy","Warner Brothers Pictures","USA",132,12,2019,34,6.0
"Mowgli","Action","Sony Pictures Entertainment","United Kingdom",109,12,2018,13,6.5
"The Equalizer 2","Drama","Paramount Pictures","USA",121,16,2018,27,6.7
"Captain Marvel","Fantasy","Marvel Studios","USA",124,12,2019,55,6.8
"Rampage","Action","New Line Cinema","USA",108,16,2018,55,6.1
"Skyscraper","Action","Universal Pictures","USA",103,12,2018,48,5.8
"Hotel Transylvania 3 Summer Vacation","Cartoon","Columbia Pictures","USA",100,0,2018,4,6.3
"Mamma Mia! Here We Go Again","Musical","Universal Pictures","USA",114,12,2018,27,6.6
"Smallfoot","Animation","Warner Brothers Pictures","USA",97,0,2018,69,6.6
"The Grinch","Comedy","Universal Pictures","USA",90,0,2018,13,6.4
"I Feel Pretty","Comedy","STX Entertainment","USA",110,12,2018,6,5.6
"The House That Jack Built","Thriller","Backup Media","Denmark",155,18,2018,13,6.8
"Duck Duck Goose","Family","Lion's Gate Films","China",91,0,2018,27,5.8
"The Death and Life of John F. Donovan","Drama","Warp Films","Canada",100,16,2018,20,6.2
"Hellboy","Action","Columbia Pictures","USA",121,18,2019,27,5.2
"Toy Story 4","Animation","Walt Disney Pictures","USA",100,0,2019,48,7.7
"Avengers Endgame","Fantasy","Marvel Studios","USA",181,12,2019,48,8.4
"Bumblebee","Fantasy","Paramount Pictures","USA",114,12,2018,4,6.7
"Bel Canto","Thriller","A-Line Pictures","USA",100,16,2018,13,5.5
"Charming","Cartoon","Vanguard Animation","USA",85,0,2018,27,5.6
"A Star Is Born","Musical","Metro-Goldwyn-Mayer","USA",135,16,2018,48,7.6
"Bohemian Rhapsody","Biographical","20th Century Fox","USA",129,16,2018,48,7.9
"Blockers","Comedy","Universal Pictures","USA",101,16,2018,48,6.2
"Fack ju Göhte 3","Comedy","Warner Brothers Pictures","Germany",120,16,2018,13,5.4
"Truth or Dare","Horrors","Universal Pictures","USA",100,16,2018,27,5.2
