name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"100 Things","Comedy","Warner Brothers Pictures","Germany",110,12,2019,20,6.4
"The Witch in the Window","Horrors","Film Seekers","USA",77,18,2018,27,5.8
"The Fall Of The American Empire","Comedy","Bron Studios","Canada",127,16,2018,13,6.8
"Schindler's List","Historical","Universal Pictures","USA",197,16,1993,6,8.9
"Rambo Last Blood","Action","Lion's Gate Films","USA",100,16,2019,20,6.1
"Frozen II","Family","Walt Disney Pictures","USA",103,0,2019,62,6.8
"Spider-Man Far From Home","Fantasy","Sony Pictures Entertainment","USA",129,12,2019,6,7.4
"Once Upon a Time in... Hollywood","Thriller","Sony Pictures Entertainment","USA",161,16,2019,6,7.6
"Our Happy Holiday","Comedy","The Film","France",102,16,2018,13,6.0
"Minuscule - Mandibles From Far Away","Adventure","France 3 Cinema","France",92,0,2019,20,6.8
"Squadron 303","Military","Film i Väst","Poland",104,12,2018,6,5.7
"Elizabeth Harvest","Thriller","Automatik Entertainment","USA",105,16,2018,13,5.8
"Milf","Comedy","Studio Canal","France",96,16,2018,6,4.7
"Us","Thriller","Monkey Pack Films","USA",117,16,2019,6,6.8
"Askeladden - I Soria Moria slott","Fantasy","Maipo Film","Norway",99,12,2019,6,6.3
"Green Book","Drama","DreamWorks Animation","USA",130,12,2018,6,8.2
"Braid","Thriller","Blue Fox Entertainment","USA",82,16,2019,13,5.3
"Then Came You","Drama","Marro Films","USA",97,12,2019,6,7.0
"Welcome to Acapulco","Comedy","Cinema Management Group",Bulgaria,88,16,2019,13,4.2
"Timm Thaler oder das verkaufte Lachen","Comedy","Warner Brothers Pictures","Germany",110,0,2019,20,6.1
"Tofu","Adventure","Lion's Gate Films","China",85,0,2017,27,6.4
"Goldfinch","Drama","Warner Brothers Pictures","USA",150,16,2019,13,6.4
"Alad'2","Comedy","M6 Films","France",98,12,2019,13,3.6
"Sen to Chihiro no kamikakushi","Animation","Ghibli","Japan",125,0,2002,13,8.6
"Captive State","Thriller","Lion's Gate Films","USA",109,16,2019,13,6.0
"The Kid","Western","Lion's Gate Films","USA",100,16,2019,6,5.9
"A Dog's Journey","Adventure","Universal Pictures","USA",109,0,2019,34,7.5
"Zombieland Double Tap","Horrors","Columbia Pictures","USA",99,16,2019,34,6.7
"The Art of Racing in the Rain","Comedy","20th Century Fox","USA",108,0,2019,27,7.6
"Fast & Furious Presents Hobbs & Shaw","Adventure","Universal Pictures","USA",136,12,2019,20,6.5
"The Great Gatsby","Drama","Warner Brothers Pictures","USA",143,16,2013,27,7.2
"Domino","Thriller","Backup Media","Denmark",89,16,2019,6,4.4
"Angel Has Fallen","Action","Millennium Films","USA",122,16,2018,27,6.4
"Red Joan","Biographical","Lion's Gate Films","United Kingdom",101,16,2018,20,6.4
"Gaspard va au mariage","Comedy","Artémis Productions","France",103,16,2017,13,6.1
"L'homme fidele","Melodrama","Canal+","France",75,16,2018,6,6.2
"St. Agatha","Horrors","Twisted Pictures","USA",98,16,2018,13,4.9
"Mia and the white lion","Drama","M6 Films","France",98,0,2018,27,6.5
"Amanda","Drama","Arte France Cinéma","France",107,12,2018,6,7.0
"Un peuple et son roi","Drama","Studio Canal","France",121,16,2018,20,5.9
"Doctor Sleep","Thriller","Warner Brothers Pictures","USA",150,18,2019,27,7.3
"The Hustle","Comedy","Universal Pictures","USA",94,16,2019,27,5.4
"Yesterday","Comedy","Universal Pictures","United Kingdom",116,12,2019,27,6.8
"Beautiful Boy","Biographical","Paramount Pictures","Japan",120,16,2019,2,7.3
"Kaze no tani no Naushika","Animation","Studio Ghibli","Japan",118,0,1984,6,8.1
"Nicky Larson et le parfum de Cupidon","Crime","Les Films du Poisson","France",91,16,2019,13,6.5
"Five Feet Apart","Drama","Lion's Gate Films","USA",116,12,2019,25,7.2
"Arctic Justice","Family","Ambience Entertainment","United Kingdom",91,0,2018,20,4.7
"After","Drama","Voltage Pictures","USA",105,12,2019,27,5.3
"Antonio Lopez 1970 Sex Fashion Disco","Documentary","Summitridge Pictures","USA",95,16,2017,20,6.8
"The Angry Birds Movie 2","Adventure","Sony Pictures Entertainment","Finland",97,0,2019,41,6.4
"Charlie's Angels","Comedy","Sony Pictures Entertainment","USA",118,12,2019,27,4.9
"Gemini Man","Fantasy","Paramount Pictures","USA",117,12,2019,34,5.7
"Abominable","Adventure","Universal Pictures","USA",97,0,2019,13,7.0
"Dora and the lost city of gold","Fantasy","Paramount Pictures","Australia",102,0,2019,41,6.1
"Beautiful Boy","Drama","Plan B Entertainment","USA",120,16,2019,6,7.3
"The Beach Bum","Comedy","Riverstone Pictures","USA",95,18,2019,13,5.5
"Missing Link","Adventure","AGC Studios","USA",94,0,2019,27,6.7
"Grâce à Dieu","Drama","France 3 Cinéma","France",137,16,2018,6,7.2
"Hole in the Ground","Horrors","Mirror Productions","Ireland",90,18,2018,13,5.7
"Pyewacket","Thriller","Bron Studios","Canada",90,18,2017,27,5.8
"Abgeschnitten","Detective","Warner Brothers Pictures","Germany",132,16,2018,27,6.5
"The Big Trip","Cartoon","Licensing Brands","USA",85,0,2019,20,5.1
"Vita & Virginia","Melodrama","Mirror Productions","Ireland",110,16,2019,6,5.8
"Terra Willy Planète inconnue","Animation","TF1","France",90,0,2019,6,6.6
"Une jeunesse dorée","Melodrama","Macassar Productions","France",118,16,2019,20,5.0
"Richard Says Goodbye","Drama","Global Road Entertainment","USA",90,16,2019,20,6.7
"Rémi sans famille","Adventure","TF1","France",108,0,2018,6,7.1
"Ma","Thriller","Universal Pictures","USA",99,16,2019,13,5.6
"Child's Play","Horrors","Orion Pictures","USA",90,18,2019,13,5.7
"Just a gigolo","Comedy","TF1","France",94,12,2019,20,5.5
"Annabelle Comes Home","Horrors","Warner Brothers Pictures","USA",95,16,2019,41,5.9
"Dernier amour","Melodrama","Les Films du Poisson","France",98,16,2019,6,4.9
"Princess Emmy","Cartoon","Warner Brothers Pictures","Germany",75,0,2019,6,6.2
"Dronningen","Drama","Nordisk Film Production","Denmark",127,18,2019,6,7.1
"Ford vs Ferrari","Drama","20th Century Fox","USA",152,12,2019,115,8.1
"Good Boys","Comedy","Universal Pictures","USA",90,16,2019,41,6.7
"Play or Die","Horrors","Les Films Pelléas","Belgium",90,16,2019,13,3.7
"Poms","Comedy","Entertainment One","United Kingdom",90,12,2019,13,6.1
"Let's Dance","Romance","Pathé","France",107,12,2019,6,6.0
"Stockholm","Comedy","Bron Studios","Canada",92,16,2018,13,6.1
"Edmond","Drama","Fabrique","USA",110,18,2019,27,7.3
"The Poison Rose","Detective","Lion's Gate Films","Italy",99,16,2019,13,4.7
"KuToppen","Animation","Qvisten Animation","Norway",66,0,2018,6,5.4
"Dolor y gloria","Drama","El Deseo S.A.","Spain",113,16,2019,13,7.5
"Wolf's call","Drama","Pathé","France",115,16,2019,6,6.9
"Stuber","Comedy","20th Century Fox","USA",93,16,2019,27,6.2
"La paranza dei bambini","Thriller","Lion's Gate Films","Italy",105,16,2019,6,6.4
"Game of Thrones","Fantasy","Warner Brothers Pictures","USA",80,16,2019,20,9.2
"Rise of the Superheroes","Documentary","Symmettrica Entertainment","United Kingdom",117,12,2018,20,6.5
"Doubles vies","Drama","Vertigo Média","France",108,12,2019,6,6.4
"The Hollow Child","Horrors","Bron Studios","Canada",88,18,2019,27,4.8
"Belzebuth","Horrors","Anima Estudios","Mexico",115,16,2017,20,6.0
"The Corrupted","Crime","Riverstone Pictures","United Kingdom",103,16,2019,13,5.7
"A Dark Song","Horrors","IFC Films","United Kingdom",99,16,2016,20,6.2
"Long Shot","Comedy","Summit Entertainment","USA",125,16,2019,27,6.8
"Terminator Dark Fate","Action","Paramount Pictures","USA",122,16,2019,34,6.2
"The Addams Family","Comedy","Universal Pictures","USA",87,0,2019,48,5.8
"My Spy","Family","Odd Lot Entertainment","USA",99,12,2020,41,6.4
"Crawl","Thriller","Paramount Pictures","USA",87,16,2019,27,6.1
"Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)","Crime","Warner Brothers Pictures","USA",109,18,2019,34,6.1
"Manou the Swift","Animation","LUXX Film","Germany",88,0,2019,13,5.5
"Anna","Action","EuropaCorp","France",119,16,2019,41,6.7
"All Is True","Historical","Sony Pictures Entertainment","United Kingdom",101,16,2019,20,6.3
"Van Gogh & Japan","Documentary","7 Art Productions","United Kingdom",87,12,2019,38,7.6
"Angelo","Drama","Inspiring Films","Austria",110,12,2019,13,6.0
"もののけ姫","Animation","Studio Ghibli","Japan",134,0,1997,2,8.4
"I Am Mother","Fantasy","The Penguin Empire","Australia",115,12,2019,13,6.7
"La promesse de l'aube","Melodrama","Pathé","France",131,16,2017,27,7.2
"Ibiza","Comedy","Gaumont Film Company","France",86,16,2019,13,5.0
"21 Bridges","Thriller","STX Entertainment","USA",103,16,2019,27,6.6
"Zoo","Family","Mirror Productions","Ireland",97,0,2017,13,6.6
"Midsommar","Horrors","B-Reel Films","USA",147,18,2019,13,7.1
"The Kitchen","Thriller","Warner Brothers Pictures","USA",106,16,2019,13,5.5
"Angel of Mine","Thriller","Lion's Gate Films","USA",98,16,2019,6,6.4
"Corporate Animals","Comedy","Pacific Electric Picture Company","USA",116,16,2019,6,4.3
"Maleficent Mistress of Evil","Fantasy","Walt Disney Pictures","USA",118,12,2019,20,6.6
"Made in Italy","Drama","Ingenious Media","Italy",100,16,2018,20,5.8
"CRANSTON ACADEMY MONSTER ZONE","Animation","Anima Estudios","Mexico",80,0,2020,20,5.3
"Killers Anonymous","Crime","Lion's Gate Films","United Kingdom",90,16,2019,13,4.4
"Hotel Mumbai","Drama","Thunder Road Pictures","USA",123,16,2018,34,7.6
"Lying and Stealing","Crime","Voltage Pictures","USA",100,16,2019,20,5.4
"Purge of Kingdoms","Comedy","Conglomerate Media","USA",85,16,2019,13,2.3
"L'Empereur de Paris","Historical","Gaumont Film Company","France",110,16,2018,13,6.3
"Playmobil The Movie","Comedy","Global Road Entertainment","France",99,0,2019,13,4.8
"Teen Spirit","Drama","Automatik Entertainment","United Kingdom",93,12,2018,13,6.1
"Escape Plan The Extractors","Action","Lion's Gate Films","USA",97,16,2019,13,4.4
"Trouble","Animation","Bron Studios","Canada",87,0,2019,34,5.8
"In Fabric","Horrors","BBC Films","United Kingdom",118,18,2019,13,6.2
"THE WOLF OF SNOW HOLLOW","Horrors","Vanishing Angle","USA",83,16,2020,13,6.2
"Plus One","Comedy","Red Hour Films","USA",99,16,2019,6,6.6
"Povodir","Military","Universal Pictures","Ukraine",120,16,2014,27,7.8
"Motherless Brooklyn","Drama","Warner Brothers Pictures","USA",144,16,2019,20,6.8
"The Wedding Year","Comedy","Motion Picture Capital","USA",92,16,2019,6,5.6
"Superintelligence","Comedy","Warner Brothers Pictures","USA",106,0,2020,20,5.4
"Les traducteurs","Thriller","Les Productions du Trésor","France",105,12,2019,20,6.5
"Underwater","Horrors","20th Century Fox","USA",95,16,2019,20,5.8
"Onward","Animation","Walt Disney Pictures","USA",103,0,2020,27,7.4
"Berlin","Drama","Warner Brothers Pictures","Germany",120,16,2019,6,4.6
"Norm of the North King Sized Adventure","Animation","Splash Entertainment","USA",90,0,2019,13,3.2
"Gisaengchung","Thriller","Barunson E&A","South Korea",131,16,2019,6,8.6
"Step Up Year of the Dance","Drama","Lion's Gate Films","China",90,12,2019,13,3.7
"Apollo 11","Documentary","Universal Pictures","USA",93,12,2019,13,8.2
"The Good Liar","Drama","Warner Brothers Pictures","USA",110,16,2019,13,6.7
"A Score to Settle","Drama","Saturn Films","USA",103,16,2019,13,4.7
"Ready or Not","Horrors","20th Century Fox","USA",95,16,2019,34,6.9
"Scary Stories to tell in the dark","Horrors","Entertainment One","USA",108,16,2019,20,6.2
"Ophelia","Drama","Marro Films","USA",106,12,2018,6,6.6
"The Death and Life of John F. Donovan","Drama","Warp Films","United Kingdom",123,16,2018,13,6.2
"Mulan","Fantasy","Marro Films","USA",115,12,2020,177,5.7
"The Matrix","Fantasy","Warner Brothers Pictures","USA",144,16,1999,6,8.7
"Antlers","Horrors","Searchlight","USA",99,16,2021,27,6.3
"Untouchable","Documentary","Lightbox","USA",98,16,2019,6,6.8
"Nekrotronic","Comedy","Entertainment One","Australia",99,18,2019,6,5.6
"Zeroville","Drama","RabbitBandini Productions","USA",96,16,2019,6,4.6
"Official Secrets","Drama","Ingenious Media","USA",112,16,2019,13,7.3
"Playing with Fire","Comedy","Paramount Pictures","USA",96,0,2019,27,5.1
"The Room","Detective","Les Films du Poisson","France",103,16,2019,20,6.0
"After the Wedding","Drama","Riverstone Pictures","USA",111,12,2019,6,6.3
"Running with the Devil","Crime","Saturn Films","USA",95,18,2019,13,5.4
"Judy","Biographical","Pathé","United Kingdom",115,16,2019,6,6.8
"The Voyage of Doctor Dolittle","Family","Universal Pictures","USA",101,0,2020,27,5.6
"BOND 25 NO TIME TO DIE","Adventure","Universal Pictures","USA",163,12,2021,69,7.4
"Monster Hunter","Action","Sony Pictures Entertainment","USA",104,12,2020,34,5.3
"Cinderella and the Secret Prince","Fantasy","Gold Valley Films","USA",90,0,2018,27,4.7
"Capital in the Twenty-First Century","Documentary","General Film Corporation","France",103,0,2019,27,7.5
"Evge","Drama","Universal Pictures","Ukraine",96,12,2019,7,7.4
"Turu","Animation","Brown Films AIE","Spain",80,0,2019,20,5.1
"Midway","Action","AGC Studios","USA",137,12,2019,20,6.7
"The Croods 2","Animation","DreamWorks Animation","USA",95,0,2020,6,7.0
"THE CONJURING THE DEVIL MADE ME DO IT","Horrors","Warner Brothers Pictures","USA",112,16,2021,20,6.3
"Hustlers","Comedy","STX Entertainment","USA",110,16,2019,34,6.3
"The Eternals","Action","Marvel Studios","USA",158,12,2021,35,6.8
"Venom Let There Be Carnage","Fantasy","Sony Pictures Entertainment","USA",98,16,2021,54,6.1
"Black Widow","Fantasy","Marvel Studios","USA",134,16,2021,42,6.7
"Gospod postoi","Drama","GO Production","Northern Macedonia",100,16,2019,13,6.8
"Un homme presse","Comedy","Gaumont Film Company","France",100,12,2019,6,6.3
"Red Shoes and the Seven Dwarfs","Animation","Locus Creative Studios","South Korea",92,0,2019,20,6.4
"Knives Out","Comedy","FilmNation Entertainment","USA",131,12,2019,67,7.9
"Little Women","Melodrama","Columbia Pictures","USA",135,0,2019,34,7.8
"Call of the Wild","Adventure","20th Century Fox","USA",100,0,2019,27,6.8
"Bloodshot","Fantasy","Sony Pictures Entertainment","USA",109,16,2019,27,5.7
"Cats","Fantasy","Universal Pictures","USA",109,0,2019,13,2.7
"A Quiet Place Part II","Thriller","Paramount Pictures","USA",97,16,2021,96,7.3
"Trolls World Tour","Animation","DreamWorks Animation","USA",91,0,2020,49,6.1
"Greyhound","Drama","Sony Pictures Entertainment","USA",91,12,2020,13,7.0
"Ghostbusters From Beyond","Fantasy","Sony Pictures Entertainment","USA",120,12,2021,27,7.7
"Bill & Ted Face the Music","Comedy","Orion Pictures","USA",91,12,2020,20,6.0
"THE BOSS BABY FAMILY BUSINESS","Animation","DreamWorks Animation","USA",107,0,2021,15,5.9
"SHANG CHI AND THE LEGEND OF THE TEN RINGS","Fantasy","Walt Disney Pictures","USA",132,12,2021,79,7.6
"Yao","Drama","Canal+","France",103,16,2018,27,6.4
"Beats","Comedy","Global Road Entertainment","United Kingdom",101,18,2019,27,7.1
"Untouchable","Documentary","Lightbox","United Kingdom",98,16,2019,6,6.8
"Celebration","Documentary","Hold Up Films","France",74,12,2007,2,6.5
"Can You Keep a Secret?","Comedy","Big Indie Pictures","USA",94,12,2019,13,5.3
"Light of My Life","Drama","Black Bear Pictures","USA",119,16,2019,6,6.6
"Une fille facile","Melodrama","Les Productions du Trésor","France",92,16,2019,6,5.6
"Paradise Hills","Fantasy","Brown Films AIE","Spain",95,12,2019,13,5.4
"The Game Changers","Documentary","ReFuel Productions","USA",117,16,2019,7,7.9
"Nomis","Thriller","Buffalo 8 Productions","USA",98,16,2019,6,5.9
"The Peanut Butter Falcon","Adventure","Armory Films","USA",93,12,2019,6,7.6
"The Hummingbird Project","Drama","Bron Studios","Canada",111,16,2018,6,6.2
"Mary","Horrors","RLJE Films","USA",85,16,2019,6,4.4
"The Prado Museum. A Collection of Wonders","Documentary","Lion's Gate Films","Italy",90,12,2019,20,7.1
"Cold Blood","Thriller","Universal Pictures","Ukraine",92,16,2019,6,4.6
"Greener Grass","Comedy","Vanishing Angle","USA",101,12,2019,6,6.4
"Weathering with You","Animation","Kadokawa Pictures","Japan",118,12,2019,6,7.5
"Valhalla","Fantasy","Nordisk Film Production","USA",105,12,2019,13,5.3
"The Aeronauts","Adventure","FilmNation Entertainment","United Kingdom",100,12,2019,13,6.6
"Mosley","Animation","Huhu Studios","New Zealand",97,0,2019,13,6.5
"Bombshell","Drama","Bron Studios","Canada",108,16,2019,20,6.8
"Empty Man","Crime","20th Century Fox","USA",102,16,2020,13,6.1
"Everybody's Talking About Jamie","Musical","20th Century Fox","United Kingdom",154,16,2019,20,7.8
"Just Mercy","Drama","Warner Brothers Pictures","USA",136,16,2019,20,7.6
"Last Christmas","Romance","Universal Pictures","United Kingdom",103,12,2019,20,6.5
"#jesuislà","Comedy","Gaumont Film Company","France",98,12,2020,6,5.9
"Canova","Documentary","Lion's Gate Films","Italy",96,12,2019,6,7.2
"One Man","Performance","FilmNation Entertainment","United Kingdom",183,16,2011,13,8.1
"Palladio. The Power of Architecture","Documentary","Lion's Gate Films","Italy",98,12,2019,13,6.2
"British Museum presents Hokusai","Documentary","BBC Films","United Kingdom",87,12,2017,6,7.6
"Werk ohne Autor","Drama","Warner Brothers Pictures","Germany",189,16,2018,27,7.8
"Scoob!","Animation","Warner Brothers Pictures","USA",102,0,2019,6,5.7
"Bayala","Adventure","Fabrique","Germany",84,0,2019,13,4.8
"La Belle Époque","Comedy","Gaumont Film Company","France",115,16,2019,43,7.4
"Black Christmas","Horrors","Universal Pictures","USA",94,16,2019,13,3.4
"Polaroid","Thriller","Orion Pictures","Canada",88,16,2019,13,5.1
"Countdown","Thriller","STX Entertainment","USA",90,16,2019,20,5.4
"Озеро диких гусей","Crime","Green Ray Films","China",110,16,2019,13,6.8
"Witches in the Woods","Horrors","Bron Studios","Canada",90,16,2019,20,4.3
"Troll The tale of tale","Animation","Blue Fox Entertainment","Canada",90,0,2019,14,5.1
"Traumfabrik","Comedy","Traumfabrik Babelsberg","Germany",103,12,2019,6,6.6
"Little Joe","Fantasy","BondIt Media Capital","Austria",100,12,2019,6,5.9
"Peter Rabbit 2","Adventure","Sony Pictures Entertainment","Australia",93,0,2020,41,6.2
"Dolittle","Adventure","Universal Pictures","USA",101,0,2019,49,5.6
"Jojo Rabbit","Comedy","20th Century Fox","USA",108,12,2019,20,7.9
"Dem Horizont so nah","Romance","Warner Brothers Pictures","Germany",109,16,2019,13,6.7
"Richard Jewell","Detective","Warner Brothers Pictures","USA",131,12,2019,13,7.5
"The Courier","Crime","42","USA",99,16,2019,13,4.9
"Soul","Animation","Walt Disney Pictures","USA",107,0,2020,27,8.1
"JUNGLE CRUISE","Adventure","Walt Disney Pictures","USA",128,16,2021,55,6.6
"ESCAPE ROOM 2","Thriller","Sony Pictures Entertainment","USA",88,16,2021,34,5.8
"Blade Runner 1982","Action","Warner Brothers Pictures","USA",117,16,1982,6,8.1
"My Thoughts Are Silent","Comedy","Universal Pictures","Ukraine",104,12,2019,20,8.0
"L'uomo del labirinto","Thriller","Lion's Gate Films","Italy",130,16,2019,6,5.7
"The Grudge","Horrors","Sony Pictures Entertainment","USA",94,16,2020,6,4.3
"The Matrix Reloaded","Fantasy","Warner Brothers Pictures","USA",138,16,2003,6,7.2
"The Matrix Revolutions","Fantasy","Warner Brothers Pictures","USA",129,16,2003,6,6.8
"And Then We Danced","Romance","ESX Entertainment","Georgia",105,16,2019,27,7.7
"Deux moi","Comedy","Studio Canal","France",110,12,2019,13,6.6
"Free Guy","Comedy","20th Century Fox","USA",115,12,2021,62,7.2
"The Donkey King","Adventure","Talisman Animations","USA",106,0,2019,13,6.5
"The Assent","Thriller","Boom Done Productions","USA",88,16,2019,6,4.1
"A Beautiful Day in the Neighborhood","Drama","Sony Pictures Entertainment","USA",108,16,2019,27,7.3
"Gretel and Hansel","Thriller","Orion Pictures","USA",87,16,2019,13,5.4
"The Invisible Man","Thriller","Universal Pictures","USA",125,16,2019,6,7.1
"Portrait de la jeune fille en feu","Historical","Arte France Cinéma","France",120,16,2019,20,8.1
"CRUELLA","Comedy","Walt Disney Pictures","USA",133,12,2021,132,7.4
"Fantasy Island","Thriller","Sony Pictures Entertainment","USA",109,16,2019,27,4.9
"Like a boss","Comedy","Paramount Pictures","USA",84,16,2019,20,4.6
"Shaun the Sheep Movie Farmageddon","Animation","EuropaCorp","USA",86,0,2019,20,6.8
"The Secret Garden","Family","Studio Canal","United Kingdom",100,0,2020,27,5.6
"Diego Maradona","Sport","Film4","United Kingdom",130,16,2019,3,7.7
"The SpongeBob Movie Sponge on the Run","Animation","Nickelodeon Movies","USA",130,0,2020,13,6.0
"The One and Only Ivan","Animation","Walt Disney Pictures","USA",107,0,2020,6,6.6
"Vic the Viking","Family","Studio 100 Films","USA",80,0,2019,13,5.2
"Infinite","Fantasy","Paramount Pictures","USA",111,16,2021,6,5.5
"Clifford the Big Red Dog","Family","Paramount Pictures","USA",99,0,2021,13,6.0
"Tom and Jerry","Animation","Warner Brothers Pictures","USA",101,0,2021,13,5.3
"Dune","Adventure","Warner Brothers Pictures","USA",155,12,2021,34,8.2
"Brahms The Boy II","Thriller","Lakeshore Entertainment","USA",99,16,2019,13,4.7
"Tenet","Action","Warner Brothers Pictures","USA",150,16,2020,98,7.4
"Raya and the Last Dragon","Animation","Walt Disney Pictures","USA",114,0,2021,20,7.4
"Seberg","Biographical","Automatik Entertainment","France",96,16,2019,6,5.8
"ATLANTIS","Drama","Universal Pictures","Ukraine",108,16,2019,1,6.7
"Emma","Drama","Universal Pictures","United Kingdom",125,0,2019,13,6.7
"Jumanji The Next Level","Adventure","Columbia Pictures","USA",123,12,2019,20,6.7
"100% Wolf","Animation","Paramount Pictures","Australia",96,0,2021,34,5.7
"BIOS","Fantasy","Universal Pictures","USA",115,16,2020,13,6.9
"Snake Eyes G.I. Joe Origins","Adventure","Paramount Pictures","USA",102,16,2019,27,5.4
"The Last Duel","Drama","20th Century Fox","USA",153,16,2021,41,7.6
"The Witches","Fantasy","Warner Brothers Pictures","USA",106,16,2020,27,5.3
"Antebellum","Horrors","Lion's Gate Films","USA",105,16,2020,6,5.7
"FAST & THE FURIOUS 9","Crime","Universal Pictures","USA",143,12,2019,96,5.2
"Guns Akimbo","Action","Ingenious Media","USA",97,18,2019,6,6.3
"In the Heights","Drama","Warner Brothers Pictures","USA",143,12,2019,20,7.4
"True History of the Kelly Gang","Biographical","Film4","United Kingdom",124,18,2019,20,6.0
"Побачення у Вегасі","Comedy","GO Production","Ukraine",91,0,2019,13,5.7
"Pinocchio","Fantasy","Rai Cinema","Italy",124,0,2019,6,6.2
"A Mermaid in Paris","Fantasy","EuropaCorp","France",102,12,2020,20,5.6
"Lassie Come Home","Family","Warner Brothers Pictures","Germany",100,0,2020,27,5.7
"After We Collided","Melodrama","Voltage Pictures","USA",120,16,2020,6,5.2
"Hors normes","Melodrama","Gaumont Film Company","France",114,12,2019,13,7.4
"My Stupid Dog","Comedy","Studio Canal","France",106,12,2019,13,6.2
"Docteur?","Comedy","France 3 Cinéma","France",90,12,2019,13,6.4
"Tunnelen","Thriller","Nordisk Film Production","Norway",105,12,2019,27,6.1
"Lucky Day","Action","Lion's Gate Films","France",99,16,2019,27,5.1
"The Wishmas Tree","Animation","Like A Photon Creative","Australia",97,0,2020,27,5.0
"An Officer and a Spy","Military","Légende","France",132,12,2020,6,7.2
"Kill Chain","Thriller","Millennium Films","Canada",91,16,2019,6,5.0
"The Personal History of David Copperfield","Adventure","FilmNation Entertainment","United Kingdom",119,12,2020,27,6.4
"SamSam","Family","Studio Canal","France",77,0,2020,20,5.1
"Ji xian feng","Action","China Film (Shanghai) International Media Co.","China",108,12,2020,27,4.7
"Vivarium","Fantasy","XYZ Films","Ireland",97,16,2019,20,5.8
"Escape from Pretoria","Thriller","Screen Australia","United Kingdom",103,16,2020,34,6.8
"Le lion","Comedy","Monkey Pack Films","France",95,16,2020,20,5.4
"Captain Sabertooth and the Magic Diamond","Animation","Qvisten Animation","Norway",81,0,2019,27,6.0
"Chambre 212","Romance","Les Films du Poisson","France",86,18,2019,6,6.0
"Zombi Child","Fantasy","Les Films du Poisson","France",103,18,2019,27,6.0
"Notre Dame","Romance","France 3 Cinéma","France",88,16,2019,20,5.2
"Om det oändliga","Drama","Roy Andersson Filmproduktion AB","Sweden",78,16,2019,6,6.9
"Malignant","Thriller","Warner Brothers Pictures","USA",112,18,2021,13,6.3
"Promising Young Woman","Thriller","Focus Features","USA",113,16,2020,20,7.5
"Spiral From the Book of Saw","Horrors","Twisted Pictures","USA",102,18,2021,13,5.3
"The Secret Dare to Dream","Drama","Lion's Gate Films","USA",98,12,2020,20,6.5
"Night shift","Crime","Studio Canal","France",98,16,2020,13,5.3
"The Postcard Killings","Thriller","Good Films Collective","USA",93,16,2020,27,5.8
"Nabarvené ptáče","Drama","Silver Screen","Czech",169,18,2019,6,7.4
"CONNECTED","Cartoon","Sony Pictures Entertainment","USA",120,0,2020,27,7.7
"Candyman","Thriller","Universal Pictures","USA",91,16,2021,20,5.9
"The Green Knight","Fantasy","Bron Studios","USA",130,16,2021,13,6.6
"TURU","Cartoon","Argentina Sono Film S.A.C.I.","Spain",90,0,2019,20,5.1
"THE HITMAN'S WIFE'S BODYGUARD","Action","Millennium Films","USA",116,16,2021,90,6.1
"Think Like a Dog","Comedy","Lion's Gate Films","USA",91,12,2020,27,5.2
"Tesla","Drama","Sony Pictures Entertainment","USA",96,12,2020,6,5.0
"The Cleansing Hour","Horrors","Skubalon","USA",94,16,2019,20,6.0
"Honest Thief","Action","Ingenious Media","USA",99,16,2020,27,6.0
"BLACKBIRD","Drama","Millennium Films","USA",97,16,2019,13,6.6
"Dreambuilders","Cartoon","First Lady Film","Denmark",81,0,2020,40,6.1
"UNHINGED","Thriller","Ingenious Media","USA",91,16,2020,27,6.0
"Ava","Action","Voltage Pictures","USA",96,16,2020,27,5.4
"Bigfoot Family","Cartoon","nWave Pictures","France",88,0,2020,39,5.8
"Dragon Rider","Adventure","Constantin Film","Germany",91,0,2020,55,5.7
"CAMPEONES","Tragedy","Studio Canal","Spain",124,12,2018,6,7.3
"Storm Boy","Drama","Ambience Entertainment","Australia",99,0,2019,20,6.9
"Ron`s Gon Wrong","Cartoon","20th Century Fox","USA",107,0,2020,6,7.2
"TWIST","Adventure","Sky Cinema","United Kingdom",88,12,2021,13,4.1
"Antebellum","Horrors","Lion's Gate Films","USA",105,16,2020,20,5.7
"Озеро диких гусей","Crime","Green Ray Films","China",110,18,2020,13,6.8
"HALLOWEEN KILLS","Horrors","Universal Pictures","USA",120,18,2021,20,5.7
"Snake Eyes G.I. Joe Origins","Action","Metro-Goldwyn-Mayer","USA",122,12,2021,13,5.4
"Happiest Season","Melodrama","Entertainment One","USA",102,0,2020,27,6.6
"Archive","Fantasy","Head Gear Films","United Kingdom",100,12,2020,20,6.4
"Peninsula","Action","Next Entertainment World","South Korea",114,16,2020,34,5.5
"Force of Nature","Action","Emmett","USA",91,16,2020,20,4.5
"The Rental","Horrors","Black Bear Pictures","USA",88,16,2020,13,5.7
"Greenland","Action","Riverstone Pictures","USA",119,16,2020,83,6.4
"The High Note","Melodrama","Universal Pictures","USA",113,12,2020,13,6.5
"Jungle Beat The Movie","Cartoon","Sandcastle Studios","Mauritius",88,0,2020,34,5.6
"The Outpost","Action","Millennium Films","USA",123,16,2020,13,6.8
